"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000005087",-0.0332756530407492,9.27139786662693,0.0852934358100441,0.770248089651197,0.816073129250848
"ENSMUSG00000005886",0.0274036444486114,6.13831938962221,0.0851276579660777,0.770465203084884,0.816239010042226
"ENSMUSG00000002076",-0.10566184000076,-0.0951944925525348,0.0849006591369199,0.770762867942765,0.816490195091656
"ENSMUSG00000024856",0.047703942458008,4.79855854341396,0.0846446116706439,0.771099143029457,0.816782238326401
"ENSMUSG00000022905",0.0343164408037018,6.73050100528526,0.0841087725759166,0.771804666763459,0.817465329402749
"ENSMUSG00000068240",-0.106322943123306,0.000272754400622413,0.0838588494429455,0.772134566529496,0.817750498184
"ENSMUSG00000022141",0.0297143782018889,7.07994234165888,0.0836188353260354,0.772451888275428,0.818022302108488
"ENSMUSG00000043421",-0.0449761273658882,3.56875870843037,0.0833057800043919,0.772866520025306,0.818397105998048
"ENSMUSG00000032480",-0.0336486645578226,6.24634668165042,0.0830998602638235,0.773139714461215,0.818601840531476
"ENSMUSG00000030823",-0.0711067584557937,1.21447390524328,0.0830685321807838,0.773181309657094,0.818601840531476
"ENSMUSG00000022185",-0.0267232483154937,7.60157662704368,0.0829840411386371,0.773293533209284,0.818656362587903
"ENSMUSG00000050188",-0.0486346672540035,3.87415266422798,0.0822292788526227,0.774298787916139,0.819656219858459
"ENSMUSG00000068289",-0.102137581506241,0.380578519504427,0.0820168393829634,0.77458263211023,0.819892310260522
"ENSMUSG00000041355",0.0308816818094316,7.02686554652171,0.0819463405194867,0.774676914796477,0.819927729321764
"ENSMUSG00000074671",-0.0671055743966641,1.22881132046907,0.081753076343934,0.774935604711107,0.820078340690883
